Year,Borough,CapRate,NYCcr
2017.08,BXcr,4.94,4.4350000000000005
2017.08,BKcr,4.4,4.4350000000000005
2015.02,QNcr,4.15,4.4350000000000005
2015.02,MNcr,4.25,4.4350000000000005
2015.02,BXcr,4.94,4.4350000000000005
2015.02,BKcr,4.4,4.4350000000000005
2017.06,QNcr,4.15,4.4
2017.06,MNcr,4.25,4.4
2017.06,BXcr,4.94,4.4
2017.06,BKcr,4.4,4.4
2017.1,QNcr,4.15,4.4350000000000005
2017.1,MNcr,4.25,4.4350000000000005
2017.1,BXcr,4.94,4.4350000000000005
2017.1,BKcr,4.4,4.4350000000000005
2017.31,QNcr,4.14,4.395
2017.31,MNcr,4.21,4.395
2017.31,BXcr,4.88,4.395
2017.31,BKcr,4.35,4.395
2015.25,QNcr,4.14,4.67125
2015.25,MNcr,4.21,4.67125
2015.25,BXcr,4.88,4.67125
2015.25,BKcr,4.35,4.67125
2017.29,QNcr,4.14,4.395
2017.29,MNcr,4.21,4.395
2017.29,BXcr,4.88,4.395
2017.29,BKcr,4.35,4.395
2017.33,QNcr,4.14,4.395
2017.33,MNcr,4.21,4.395
2017.33,BXcr,4.88,4.395
2017.33,BKcr,4.35,4.395
2017.53,QNcr,4.14,4.3625
2017.53,MNcr,4.16,4.3625
2017.53,BXcr,4.83,4.3625
2017.53,BKcr,4.32,4.3625
2015.48,QNcr,4.14,4.59875
2015.48,MNcr,4.16,4.59875
2015.48,BXcr,4.83,4.59875
2015.48,BKcr,4.32,4.59875
2017.51,QNcr,4.14,4.4025
2017.51,MNcr,4.16,4.4025
2017.51,BXcr,4.83,4.4025
2017.51,BKcr,4.32,4.4025
2017.55,QNcr,4.14,4.3625
2017.55,MNcr,4.16,4.3625
2017.55,BXcr,4.83,4.3625
2017.55,BKcr,4.32,4.3625
2017.76,QNcr,4.14,4.3375
2017.76,MNcr,4.09,4.3375
2017.76,BXcr,4.8,4.3375
2017.76,BKcr,4.32,4.3375
2015.7,QNcr,4.14,4.3375
2015.7,MNcr,4.09,4.3375
2015.7,BXcr,4.8,4.3375
2015.7,BKcr,4.32,4.3375
2017.74,QNcr,4.14,4.41625
2017.74,MNcr,4.09,4.41625
2017.74,BXcr,4.8,4.41625
2017.74,BKcr,4.32,4.41625
2017.78,QNcr,4.14,4.3375
2017.78,MNcr,4.09,4.3375
2017.78,BXcr,4.8,4.3375
2017.78,BKcr,4.32,4.3375
2017.98,QNcr,4.14,4.3175
2017.98,MNcr,4.01,4.3175
2017.98,BXcr,4.77,4.3175
2017.98,BKcr,4.35,4.3175
2015.93,QNcr,4.14,4.498749999999999
2015.93,MNcr,4.01,4.498749999999999
2015.93,BXcr,4.77,4.498749999999999
2015.93,BKcr,4.35,4.498749999999999
2017.96,QNcr,4.14,4.43875
2017.96,MNcr,4.01,4.43875
2017.96,BXcr,4.77,4.43875
2017.96,BKcr,4.35,4.43875
2018,QNcr,4.14,4.3175
2018,MNcr,4.01,4.3175
2018,BXcr,4.77,4.3175
2018,BKcr,4.35,4.3175
